"Plot Title:  20849236"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849236, SEN S/N: 20849236)","RH, % (LGR S/N: 20849236, SEN S/N: 20849236)","Coupler Detached (LGR S/N: 20849236)","Bad Battery (LGR S/N: 20849236)","Good Battery (LGR S/N: 20849236)","Coupler Attached (LGR S/N: 20849236)","Host Connected (LGR S/N: 20849236)","Stopped (LGR S/N: 20849236)","End Of File (LGR S/N: 20849236)"
258,08.21.20 klo 11.27.08 ip.,22.112,39.389,,,,,,,
259,08.21.20 klo 11.57.08 ip.,22.112,39.707,,,,,,,
260,08.22.20 klo 12.27.08 ap.,22.112,41.612,,,,,,,
261,08.22.20 klo 12.57.08 ap.,21.984,41.050,,,,,,,
262,08.22.20 klo 01.27.08 ap.,21.941,41.587,,,,,,,
263,08.22.20 klo 01.57.08 ap.,21.855,41.807,,,,,,,
264,08.22.20 klo 02.27.08 ap.,21.855,42.002,,,,,,,
265,08.22.20 klo 02.57.08 ap.,21.769,42.027,,,,,,,
266,08.22.20 klo 03.27.08 ap.,21.769,42.100,,,,,,,
267,08.22.20 klo 03.57.08 ap.,21.726,41.905,,,,,,,
268,08.22.20 klo 04.27.08 ap.,21.726,41.905,,,,,,,
269,08.22.20 klo 04.57.08 ap.,21.640,41.905,,,,,,,
270,08.22.20 klo 05.27.08 ap.,21.683,41.954,,,,,,,
271,08.22.20 klo 05.57.08 ap.,21.598,42.125,,,,,,,
272,08.22.20 klo 06.27.08 ap.,21.640,42.247,,,,,,,
273,08.22.20 klo 06.57.08 ap.,21.598,42.173,,,,,,,
274,08.22.20 klo 07.27.08 ap.,21.555,42.149,,,,,,,
275,08.22.20 klo 07.57.08 ap.,21.598,42.198,,,,,,,
276,08.22.20 klo 08.27.08 ap.,21.598,42.173,,,,,,,
277,08.22.20 klo 08.57.08 ap.,21.555,42.393,,,,,,,
278,08.22.20 klo 09.27.08 ap.,21.555,42.369,,,,,,,
279,08.22.20 klo 09.57.08 ap.,21.598,42.418,,,,,,,
280,08.22.20 klo 10.27.08 ap.,21.683,43.004,,,,,,,
281,08.22.20 klo 10.57.08 ap.,21.855,43.614,,,,,,,
282,08.22.20 klo 11.27.08 ap.,21.984,43.907,,,,,,,
283,08.22.20 klo 11.57.08 ap.,22.327,45.250,,,,,,,
284,08.22.20 klo 12.27.08 ip.,22.241,46.032,,,,,,,
285,08.22.20 klo 12.57.08 ip.,22.327,46.569,,,,,,,
286,08.22.20 klo 01.27.08 ip.,22.413,46.398,,,,,,,
287,08.22.20 klo 01.57.08 ip.,22.498,46.349,,,,,,,
288,08.22.20 klo 02.27.08 ip.,22.541,46.252,,,,,,,
289,08.22.20 klo 02.57.08 ip.,22.541,46.105,,,,,,,
290,08.22.20 klo 03.27.08 ip.,22.370,45.495,,,,,,,
291,08.22.20 klo 03.57.08 ip.,22.370,45.592,,,,,,,
292,08.22.20 klo 04.27.08 ip.,22.498,45.372,,,,,,,
293,08.22.20 klo 04.57.08 ip.,22.584,45.690,,,,,,,
294,08.22.20 klo 05.27.08 ip.,22.670,45.275,,,,,,,
295,08.22.20 klo 05.57.08 ip.,22.627,45.324,,,,,,,
296,08.22.20 klo 06.27.08 ip.,22.541,45.495,,,,,,,
297,08.22.20 klo 06.57.08 ip.,22.456,45.397,,,,,,,
298,08.22.20 klo 07.27.08 ip.,22.370,45.617,,,,,,,
299,08.22.20 klo 07.57.08 ip.,22.370,45.714,,,,,,,
300,08.22.20 klo 08.27.08 ip.,22.413,46.007,,,,,,,
301,08.22.20 klo 08.57.08 ip.,22.627,46.716,,,,,,,
302,08.22.20 klo 09.27.08 ip.,22.541,46.593,,,,,,,
303,08.22.20 klo 09.57.08 ip.,22.498,46.838,,,,,,,
304,08.22.20 klo 10.27.08 ip.,22.498,47.326,,,,,,,
305,08.22.20 klo 10.57.08 ip.,22.541,47.888,,,,,,,
306,08.22.20 klo 11.27.08 ip.,22.584,48.840,,,,,,,
307,08.22.20 klo 11.57.08 ip.,22.713,49.573,,,,,,,
308,08.23.20 klo 12.27.08 ap.,22.670,49.719,,,,,,,
309,08.23.20 klo 12.57.08 ap.,22.584,49.646,,,,,,,
310,08.23.20 klo 01.27.08 ap.,22.498,49.573,,,,,,,
311,08.23.20 klo 01.57.08 ap.,22.413,49.353,,,,,,,
312,08.23.20 klo 02.27.08 ap.,22.327,49.158,,,,,,,
313,08.23.20 klo 02.57.08 ap.,22.284,48.913,,,,,,,
314,08.23.20 klo 03.27.08 ap.,22.241,48.694,,,,,,,
315,08.23.20 klo 03.57.08 ap.,22.198,48.449,,,,,,,
316,08.23.20 klo 04.27.08 ap.,22.155,48.181,,,,,,,
317,08.23.20 klo 04.57.08 ap.,22.155,48.010,,,,,,,
318,08.23.20 klo 05.27.08 ap.,22.112,47.790,,,,,,,
319,08.23.20 klo 05.57.08 ap.,22.027,47.668,,,,,,,
320,08.23.20 klo 06.27.08 ap.,22.069,47.424,,,,,,,
321,08.23.20 klo 06.57.08 ap.,22.027,47.277,,,,,,,
322,08.23.20 klo 07.27.08 ap.,22.027,47.131,,,,,,,
323,08.23.20 klo 07.57.08 ap.,21.984,46.960,,,,,,,
324,08.23.20 klo 08.27.08 ap.,21.984,46.838,,,,,,,
325,08.23.20 klo 08.57.08 ap.,21.984,46.691,,,,,,,
326,08.23.20 klo 09.27.08 ap.,21.984,46.593,,,,,,,
327,08.23.20 klo 09.57.08 ap.,21.984,46.593,,,,,,,
328,08.23.20 klo 10.27.08 ap.,22.198,46.911,,,,,,,
329,08.23.20 klo 10.57.08 ap.,22.327,47.277,,,,,,,
330,08.23.20 klo 11.27.08 ap.,22.885,49.426,,,,,,,
331,08.23.20 klo 11.57.08 ap.,22.456,49.280,,,,,,,
332,08.23.20 klo 12.27.08 ip.,22.327,48.987,,,,,,,
333,08.23.20 klo 12.57.08 ip.,22.413,51.013,,,,,,,
334,08.23.20 klo 01.27.08 ip.,22.370,51.404,,,,,,,
335,08.23.20 klo 01.57.08 ip.,21.769,52.796,,,,,,,
336,08.23.20 klo 02.27.08 ip.,21.254,55.018,,,,,,,
337,08.23.20 klo 02.57.08 ip.,20.997,55.287,,,,,,,
338,08.23.20 klo 03.27.08 ip.,20.782,55.556,,,,,,,
339,08.23.20 klo 03.57.08 ip.,20.010,53.382,,,,,,,
340,08.23.20 klo 04.27.08 ip.,19.367,61.514,,,,,,,
341,08.23.20 klo 04.57.08 ip.,22.112,89.719,,,,,,,
342,08.23.20 klo 05.27.08 ip.,22.498,78.632,,,,,,,
343,08.23.20 klo 05.57.08 ip.,26.274,60.366,,,,,,,
344,08.23.20 klo 06.27.08 ip.,26.231,56.777,,,,,,,
345,08.23.20 klo 06.57.08 ip.,26.488,58.071,,,,,,,
346,08.23.20 klo 07.27.08 ip.,26.317,57.338,,,,,,,
347,08.23.20 klo 07.57.08 ip.,26.231,57.973,,,,,,,
348,08.23.20 klo 08.27.08 ip.,26.831,60.684,,,,,,,
349,08.23.20 klo 08.57.08 ip.,29.019,59.878,,,,,,,
350,08.23.20 klo 09.27.08 ip.,28.934,56.850,,,,,,,
351,08.23.20 klo 09.57.08 ip.,30.607,52.845,,,,,,,
352,08.23.20 klo 10.27.08 ip.,31.679,48.498,,,,,,,
353,08.23.20 klo 10.57.08 ip.,30.778,49.182,,,,,,,
354,08.23.20 klo 11.27.08 ip.,29.277,51.917,,,,,,,
355,08.23.20 klo 11.57.08 ip.,28.033,52.503,,,,,,,
356,08.24.20 klo 12.27.08 ap.,27.089,52.918,,,,,,,
357,08.24.20 klo 12.57.08 ap.,26.231,51.746,,,,,,,
