"Plot Title:  20849263"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849263, SEN S/N: 20849263, LBL: AT)","RH, % (LGR S/N: 20849263, SEN S/N: 20849263, LBL: RH)","Coupler Detached (LGR S/N: 20849263)","Bad Battery (LGR S/N: 20849263)","Good Battery (LGR S/N: 20849263)","Coupler Attached (LGR S/N: 20849263)","Host Connected (LGR S/N: 20849263)","Stopped (LGR S/N: 20849263)","End Of File (LGR S/N: 20849263)"
286,07.18.20 klo 10.30.00 ap.,16.450,48.425,,,,,,,
287,07.18.20 klo 11.00.00 ap.,16.879,49.109,,,,,,,
288,07.18.20 klo 11.30.00 ap.,17.308,49.866,,,,,,,
289,07.18.20 klo 12.00.00 ip.,17.865,50.794,,,,,,,
290,07.18.20 klo 12.30.00 ip.,18.380,51.722,,,,,,,
291,07.18.20 klo 01.00.00 ip.,18.981,52.576,,,,,,,
292,07.18.20 klo 01.30.00 ip.,19.538,52.747,,,,,,,
293,07.18.20 klo 02.00.00 ip.,20.182,54.017,,,,,,,
294,07.18.20 klo 02.30.00 ip.,20.825,55.067,,,,,,,
295,07.18.20 klo 03.00.00 ip.,21.211,54.725,,,,,,,
296,07.18.20 klo 03.30.00 ip.,21.340,54.652,,,,,,,
297,07.18.20 klo 04.00.00 ip.,21.555,54.774,,,,,,,
298,07.18.20 klo 04.30.00 ip.,21.898,55.214,,,,,,,
299,07.18.20 klo 05.00.00 ip.,22.327,55.653,,,,,,,
300,07.18.20 klo 05.30.00 ip.,22.713,55.873,,,,,,,
301,07.18.20 klo 06.00.00 ip.,23.013,55.995,,,,,,,
302,07.18.20 klo 06.30.00 ip.,23.228,56.020,,,,,,,
303,07.18.20 klo 07.00.00 ip.,23.399,56.093,,,,,,,
304,07.18.20 klo 07.30.00 ip.,23.528,55.897,,,,,,,
305,07.18.20 klo 08.00.00 ip.,23.528,55.678,,,,,,,
306,07.18.20 klo 08.30.00 ip.,23.399,55.287,,,,,,,
307,07.18.20 klo 09.00.00 ip.,23.228,55.067,,,,,,,
308,07.18.20 klo 09.30.00 ip.,23.185,54.896,,,,,,,
309,07.18.20 klo 10.00.00 ip.,23.185,54.652,,,,,,,
310,07.18.20 klo 10.30.00 ip.,23.142,54.432,,,,,,,
311,07.18.20 klo 11.00.00 ip.,23.013,54.115,,,,,,,
312,07.18.20 klo 11.30.00 ip.,22.799,53.651,,,,,,,
313,07.19.20 klo 12.00.00 ap.,22.456,53.138,,,,,,,
314,07.19.20 klo 12.30.00 ap.,22.069,52.527,,,,,,,
315,07.19.20 klo 01.00.00 ap.,21.555,51.819,,,,,,,
316,07.19.20 klo 01.30.00 ap.,21.040,51.062,,,,,,,
317,07.19.20 klo 02.00.00 ap.,20.439,50.354,,,,,,,
318,07.19.20 klo 02.30.00 ap.,19.796,49.597,,,,,,,
319,07.19.20 klo 03.00.00 ap.,19.152,48.938,,,,,,,
320,07.19.20 klo 03.30.00 ap.,18.509,48.254,,,,,,,
321,07.19.20 klo 04.00.00 ap.,17.822,47.643,,,,,,,
322,07.19.20 klo 04.30.00 ap.,17.179,46.960,,,,,,,
323,07.19.20 klo 05.00.00 ap.,16.535,46.447,,,,,,,
324,07.19.20 klo 05.30.00 ap.,15.935,45.983,,,,,,,
325,07.19.20 klo 06.00.00 ap.,15.377,45.543,,,,,,,
326,07.19.20 klo 06.30.00 ap.,14.948,45.177,,,,,,,
327,07.19.20 klo 07.00.00 ap.,14.519,44.860,,,,,,,
328,07.19.20 klo 07.30.00 ap.,14.176,44.713,,,,,,,
329,07.19.20 klo 08.00.00 ap.,13.876,44.469,,,,,,,
330,07.19.20 klo 08.30.00 ap.,13.618,44.322,,,,,,,
331,07.19.20 klo 09.00.00 ap.,13.446,44.200,,,,,,,
332,07.19.20 klo 09.30.00 ap.,13.275,44.103,,,,,,,
333,07.19.20 klo 10.00.00 ap.,13.060,44.078,,,,,,,
334,07.19.20 klo 10.30.00 ap.,12.975,43.956,,,,,,,
335,07.19.20 klo 11.00.00 ap.,12.846,43.956,,,,,,,
336,07.19.20 klo 11.30.00 ap.,12.803,43.980,,,,,,,
337,07.19.20 klo 12.00.00 ip.,12.803,44.103,,,,,,,
338,07.19.20 klo 12.30.00 ip.,12.932,44.420,,,,,,,
339,07.19.20 klo 01.00.00 ip.,13.618,47.619,,,,,,,
340,07.19.20 klo 01.30.00 ip.,15.034,49.182,,,,,,,
341,07.19.20 klo 02.00.00 ip.,16.063,50.159,,,,,,,
342,07.19.20 klo 02.30.00 ip.,16.921,50.818,,,,,,,
343,07.19.20 klo 03.00.00 ip.,17.651,51.258,,,,,,,
344,07.19.20 klo 03.30.00 ip.,18.166,51.526,,,,,,,
345,07.19.20 klo 04.00.00 ip.,18.637,51.624,,,,,,,
346,07.19.20 klo 04.30.00 ip.,18.981,51.722,,,,,,,
347,07.19.20 klo 05.00.00 ip.,19.410,51.697,,,,,,,
348,07.19.20 klo 05.30.00 ip.,19.667,51.624,,,,,,,
349,07.19.20 klo 06.00.00 ip.,19.882,51.551,,,,,,,
350,07.19.20 klo 06.30.00 ip.,20.053,51.502,,,,,,,
351,07.19.20 klo 07.00.00 ip.,20.268,51.404,,,,,,,
352,07.19.20 klo 07.30.00 ip.,20.439,51.282,,,,,,,
353,07.19.20 klo 08.00.00 ip.,20.611,51.160,,,,,,,
354,07.19.20 klo 08.30.00 ip.,20.740,51.062,,,,,,,
355,07.19.20 klo 09.00.00 ip.,20.825,51.013,,,,,,,
