"Plot Title: 20854946"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854946, SEN S/N: 20854946, LBL: AT)","RH, % (LGR S/N: 20854946, SEN S/N: 20854946, LBL: RH)","Coupler Detached (LGR S/N: 20854946)","Coupler Attached (LGR S/N: 20854946)","Host Connected (LGR S/N: 20854946)","Stopped (LGR S/N: 20854946)","End Of File (LGR S/N: 20854946)"
346,07.27.20 klo 04.30.00 ip.,21.126,49.768,,,,,
347,07.27.20 klo 05.00.00 ip.,21.126,49.670,,,,,
348,07.27.20 klo 05.30.00 ip.,21.126,49.597,,,,,
349,07.27.20 klo 06.00.00 ip.,21.126,49.548,,,,,
350,07.27.20 klo 06.30.00 ip.,21.169,49.573,,,,,
351,07.27.20 klo 07.00.00 ip.,21.211,49.573,,,,,
352,07.27.20 klo 07.30.00 ip.,21.254,49.573,,,,,
353,07.27.20 klo 08.00.00 ip.,21.297,49.573,,,,,
354,07.27.20 klo 08.30.00 ip.,21.383,49.670,,,,,
355,07.27.20 klo 09.00.00 ip.,21.426,49.670,,,,,
356,07.27.20 klo 09.30.00 ip.,21.512,49.744,,,,,
357,07.27.20 klo 10.00.00 ip.,21.598,49.866,,,,,
358,07.27.20 klo 10.30.00 ip.,21.640,49.939,,,,,
359,07.27.20 klo 11.00.00 ip.,21.640,50.012,,,,,
360,07.27.20 klo 11.30.00 ip.,21.683,50.085,,,,,
361,07.28.20 klo 12.00.00 ap.,21.726,50.159,,,,,
362,07.28.20 klo 12.30.00 ap.,21.769,50.256,,,,,
363,07.28.20 klo 01.00.00 ap.,21.812,50.232,,,,,
364,07.28.20 klo 01.30.00 ap.,21.812,50.281,,,,,
365,07.28.20 klo 02.00.00 ap.,21.812,50.330,,,,,
366,07.28.20 klo 02.30.00 ap.,21.855,50.403,,,,,
367,07.28.20 klo 03.00.00 ap.,21.855,50.476,,,,,
368,07.28.20 klo 03.30.00 ap.,21.855,50.574,,,,,
369,07.28.20 klo 04.00.00 ap.,21.898,50.720,,,,,
370,07.28.20 klo 04.30.00 ap.,21.898,50.769,,,,,
371,07.28.20 klo 05.00.00 ap.,21.898,50.891,,,,,
372,07.28.20 klo 05.30.00 ap.,21.898,50.916,,,,,
373,07.28.20 klo 06.00.00 ap.,21.898,51.013,,,,,
374,07.28.20 klo 06.30.00 ap.,21.898,51.087,,,,,
375,07.28.20 klo 07.00.00 ap.,21.898,51.136,,,,,
