"Plot Title:  20849260"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849260, SEN S/N: 20849260, LBL: AT)","RH, % (LGR S/N: 20849260, SEN S/N: 20849260, LBL: RH)","Coupler Detached (LGR S/N: 20849260)","Bad Battery (LGR S/N: 20849260)","Coupler Attached (LGR S/N: 20849260)","Host Connected (LGR S/N: 20849260)","Stopped (LGR S/N: 20849260)","End Of File (LGR S/N: 20849260)"
290,07.26.20 klo 12.30.00 ip.,21.254,47.912,,,,,,
291,07.26.20 klo 01.00.00 ip.,21.211,47.912,,,,,,
292,07.26.20 klo 01.30.00 ip.,21.211,47.937,,,,,,
293,07.26.20 klo 02.00.00 ip.,21.169,47.937,,,,,,
294,07.26.20 klo 02.30.00 ip.,21.126,47.888,,,,,,
295,07.26.20 klo 03.00.00 ip.,21.126,47.912,,,,,,
296,07.26.20 klo 03.30.00 ip.,21.126,47.863,,,,,,
297,07.26.20 klo 04.00.00 ip.,21.083,47.839,,,,,,
298,07.26.20 klo 04.30.00 ip.,21.126,47.912,,,,,,
299,07.26.20 klo 05.00.00 ip.,21.126,47.839,,,,,,
300,07.26.20 klo 05.30.00 ip.,21.126,47.863,,,,,,
301,07.26.20 klo 06.00.00 ip.,21.126,47.888,,,,,,
302,07.26.20 klo 06.30.00 ip.,21.169,47.888,,,,,,
303,07.26.20 klo 07.00.00 ip.,21.126,47.839,,,,,,
304,07.26.20 klo 07.30.00 ip.,21.169,47.912,,,,,,
305,07.26.20 klo 08.00.00 ip.,21.169,47.888,,,,,,
306,07.26.20 klo 08.30.00 ip.,21.211,47.937,,,,,,
307,07.26.20 klo 09.00.00 ip.,21.211,47.912,,,,,,
308,07.26.20 klo 09.30.00 ip.,21.211,47.888,,,,,,
309,07.26.20 klo 10.00.00 ip.,21.254,47.912,,,,,,
310,07.26.20 klo 10.30.00 ip.,21.211,47.912,,,,,,
311,07.26.20 klo 11.00.00 ip.,21.254,47.961,,,,,,
312,07.26.20 klo 11.30.00 ip.,21.254,47.937,,,,,,
313,07.27.20 klo 12.00.00 ap.,21.254,47.912,,,,,,
314,07.27.20 klo 12.30.00 ap.,21.254,47.937,,,,,,
315,07.27.20 klo 01.00.00 ap.,21.211,47.937,,,,,,
316,07.27.20 klo 01.30.00 ap.,21.254,47.912,,,,,,
317,07.27.20 klo 02.00.00 ap.,21.169,47.961,,,,,,
318,07.27.20 klo 02.30.00 ap.,21.211,47.937,,,,,,
319,07.27.20 klo 03.00.00 ap.,21.211,47.937,,,,,,
320,07.27.20 klo 03.30.00 ap.,21.169,47.961,,,,,,
321,07.27.20 klo 04.00.00 ap.,21.254,47.961,,,,,,
322,07.27.20 klo 04.30.00 ap.,21.211,47.937,,,,,,
323,07.27.20 klo 05.00.00 ap.,21.254,48.059,,,,,,
324,07.27.20 klo 05.30.00 ap.,21.254,48.059,,,,,,
325,07.27.20 klo 06.00.00 ap.,21.254,48.059,,,,,,
326,07.27.20 klo 06.30.00 ap.,21.297,48.059,,,,,,
327,07.27.20 klo 07.00.00 ap.,21.297,48.132,,,,,,
328,07.27.20 klo 07.30.00 ap.,21.297,48.156,,,,,,
329,07.27.20 klo 08.00.00 ap.,21.340,48.132,,,,,,
330,07.27.20 klo 08.30.00 ap.,21.297,48.181,,,,,,
331,07.27.20 klo 09.00.00 ap.,21.340,48.230,,,,,,
332,07.27.20 klo 09.30.00 ap.,21.340,48.254,,,,,,
333,07.27.20 klo 10.00.00 ap.,21.340,48.327,,,,,,
334,07.27.20 klo 10.30.00 ap.,21.340,48.303,,,,,,
335,07.27.20 klo 11.00.00 ap.,21.340,48.303,,,,,,
336,07.27.20 klo 11.30.00 ap.,21.340,48.327,,,,,,
337,07.27.20 klo 12.00.00 ip.,21.340,48.352,,,,,,
338,07.27.20 klo 12.30.00 ip.,21.383,48.400,,,,,,
339,07.27.20 klo 01.00.00 ip.,21.340,48.425,,,,,,
340,07.27.20 klo 01.30.00 ip.,21.383,48.449,,,,,,
341,07.27.20 klo 02.00.00 ip.,21.383,48.498,,,,,,
342,07.27.20 klo 02.30.00 ip.,21.383,48.474,,,,,,
343,07.27.20 klo 03.00.00 ip.,21.383,48.498,,,,,,
344,07.27.20 klo 03.30.00 ip.,21.383,48.474,,,,,,
345,07.27.20 klo 04.00.00 ip.,21.383,48.523,,,,,,
346,07.27.20 klo 04.30.00 ip.,21.383,48.523,,,,,,
347,07.27.20 klo 05.00.00 ip.,21.340,48.498,,,,,,
348,07.27.20 klo 05.30.00 ip.,21.426,48.498,,,,,,
349,07.27.20 klo 06.00.00 ip.,21.383,48.547,,,,,,
350,07.27.20 klo 06.30.00 ip.,21.383,48.547,,,,,,
351,07.27.20 klo 07.00.00 ip.,21.383,48.474,,,,,,
352,07.27.20 klo 07.30.00 ip.,21.383,48.523,,,,,,
353,07.27.20 klo 08.00.00 ip.,21.426,48.498,,,,,,
354,07.27.20 klo 08.30.00 ip.,21.469,48.547,,,,,,
355,07.27.20 klo 09.00.00 ip.,21.426,48.547,,,,,,
356,07.27.20 klo 09.30.00 ip.,21.469,48.547,,,,,,
357,07.27.20 klo 10.00.00 ip.,21.469,48.596,,,,,,
358,07.27.20 klo 10.30.00 ip.,21.512,48.571,,,,,,
359,07.27.20 klo 11.00.00 ip.,21.555,48.596,,,,,,
360,07.27.20 klo 11.30.00 ip.,21.598,48.596,,,,,,
361,07.28.20 klo 12.00.00 ap.,21.640,48.645,,,,,,
362,07.28.20 klo 12.30.00 ap.,21.683,48.620,,,,,,
363,07.28.20 klo 01.00.00 ap.,21.640,48.645,,,,,,
364,07.28.20 klo 01.30.00 ap.,21.726,48.718,,,,,,
365,07.28.20 klo 02.00.00 ap.,21.726,48.791,,,,,,
366,07.28.20 klo 02.30.00 ap.,21.769,48.767,,,,,,
367,07.28.20 klo 03.00.00 ap.,21.812,48.816,,,,,,
368,07.28.20 klo 03.30.00 ap.,21.812,48.840,,,,,,
