"Plot Title:  20864572"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864572, SEN S/N: 20864572)","RH, % (LGR S/N: 20864572, SEN S/N: 20864572)","Coupler Detached (LGR S/N: 20864572)","End Of File (LGR S/N: 20864572)"
306,08.15.20 klo 10.09.19 ip.,22.927,37.753,,
307,08.15.20 klo 10.39.19 ip.,22.756,38.388,,
308,08.15.20 klo 11.09.19 ip.,22.670,39.365,,
309,08.15.20 klo 11.39.19 ip.,22.541,39.316,,
310,08.16.20 klo 12.09.19 ap.,22.456,39.170,,
311,08.16.20 klo 12.39.19 ap.,22.413,38.950,,
312,08.16.20 klo 01.09.19 ap.,22.370,38.779,,
313,08.16.20 klo 01.39.19 ap.,22.284,38.584,,
314,08.16.20 klo 02.09.19 ap.,22.241,37.705,,
315,08.16.20 klo 02.39.19 ap.,22.198,37.680,,
316,08.16.20 klo 03.09.19 ap.,22.155,37.875,,
317,08.16.20 klo 03.39.19 ap.,22.155,37.802,,
318,08.16.20 klo 04.09.19 ap.,22.112,37.729,,
319,08.16.20 klo 04.39.19 ap.,22.069,36.923,,
320,08.16.20 klo 05.09.19 ap.,22.027,36.190,,
321,08.16.20 klo 05.39.19 ap.,21.984,34.994,,
322,08.16.20 klo 06.09.19 ap.,21.984,34.994,,
323,08.16.20 klo 06.39.19 ap.,21.941,35.263,,
324,08.16.20 klo 07.09.19 ap.,21.984,36.484,,
325,08.16.20 klo 07.39.19 ap.,21.984,36.606,,
326,08.16.20 klo 08.09.19 ap.,21.984,36.288,,
327,08.16.20 klo 08.39.19 ap.,21.941,35.873,,
328,08.16.20 klo 09.09.19 ap.,21.898,35.189,,
329,08.16.20 klo 09.39.19 ap.,21.984,34.676,,
330,08.16.20 klo 10.09.19 ap.,22.198,33.822,,
331,08.16.20 klo 10.39.19 ap.,22.327,33.309,,
332,08.16.20 klo 11.09.19 ap.,22.456,32.943,,
333,08.16.20 klo 11.39.19 ap.,22.498,32.821,,
334,08.16.20 klo 12.09.19 ip.,22.584,33.651,,
335,08.16.20 klo 12.39.19 ip.,22.584,33.822,,
336,08.16.20 klo 01.09.19 ip.,22.498,33.919,,
337,08.16.20 klo 01.39.19 ip.,22.456,34.408,,
338,08.16.20 klo 02.09.19 ip.,22.327,34.042,,
339,08.16.20 klo 02.39.19 ip.,22.413,34.725,,
340,08.16.20 klo 03.09.19 ip.,22.413,36.093,,
341,08.16.20 klo 03.39.19 ip.,22.456,36.728,,
342,08.16.20 klo 04.09.19 ip.,22.370,36.117,,
343,08.16.20 klo 04.39.19 ip.,22.327,36.020,,
344,08.16.20 klo 05.09.19 ip.,22.241,36.020,,
345,08.16.20 klo 05.39.19 ip.,22.241,35.897,,
346,08.16.20 klo 06.09.19 ip.,22.155,35.238,,
347,08.16.20 klo 06.39.19 ip.,22.112,34.799,,
348,08.16.20 klo 07.09.19 ip.,22.069,34.164,,
349,08.16.20 klo 07.39.19 ip.,21.941,35.189,,
350,08.16.20 klo 08.09.19 ip.,21.941,34.945,,
351,08.16.20 klo 08.39.19 ip.,21.941,34.847,,
352,08.16.20 klo 09.09.19 ip.,21.941,35.360,,
353,08.16.20 klo 09.39.19 ip.,21.941,34.823,,
354,08.16.20 klo 10.09.19 ip.,21.941,34.750,,
355,08.16.20 klo 10.39.19 ip.,21.898,34.115,,
356,08.16.20 klo 11.09.19 ip.,21.812,33.529,,
357,08.16.20 klo 11.39.19 ip.,21.726,32.967,,
358,08.17.20 klo 12.09.19 ap.,21.640,32.796,,
359,08.17.20 klo 12.39.19 ap.,21.555,32.747,,
360,08.17.20 klo 01.09.19 ap.,21.512,32.552,,
361,08.17.20 klo 01.39.19 ap.,21.512,32.698,,
362,08.17.20 klo 02.09.19 ap.,21.426,32.772,,
363,08.17.20 klo 02.39.19 ap.,21.383,33.724,,
364,08.17.20 klo 03.09.19 ap.,21.426,33.846,,
365,08.17.20 klo 03.39.19 ap.,21.383,34.359,,
366,08.17.20 klo 04.09.19 ap.,21.383,34.505,,
367,08.17.20 klo 04.39.19 ap.,21.383,34.823,,
368,08.17.20 klo 05.09.19 ap.,21.383,35.336,,
369,08.17.20 klo 05.39.19 ap.,21.383,35.482,,
370,08.17.20 klo 06.09.19 ap.,21.383,35.409,,
371,08.17.20 klo 06.39.19 ap.,21.340,35.360,,
372,08.17.20 klo 07.09.19 ap.,21.340,35.458,,
373,08.17.20 klo 07.39.19 ap.,21.383,35.726,,
374,08.17.20 klo 08.09.19 ap.,21.426,35.629,,
375,08.17.20 klo 08.39.19 ap.,21.383,34.896,,
376,08.17.20 klo 09.09.19 ap.,21.340,34.530,,
377,08.17.20 klo 09.39.19 ap.,21.340,34.432,,
378,08.17.20 klo 10.09.19 ap.,21.383,34.750,,
379,08.17.20 klo 10.39.19 ap.,21.426,35.043,,
380,08.17.20 klo 11.09.19 ap.,21.469,34.969,,
381,08.17.20 klo 11.39.19 ap.,21.512,34.554,,
382,08.17.20 klo 12.09.19 ip.,21.598,35.067,,
383,08.17.20 klo 12.39.19 ip.,21.726,35.263,,
384,08.17.20 klo 01.09.19 ip.,21.812,35.092,,
385,08.17.20 klo 01.39.19 ip.,21.941,34.725,,
386,08.17.20 klo 02.09.19 ip.,21.984,34.823,,
387,08.17.20 klo 02.39.19 ip.,21.941,34.628,,
388,08.17.20 klo 03.09.19 ip.,21.941,34.286,,
389,08.17.20 klo 03.39.19 ip.,21.898,33.871,,
390,08.17.20 klo 04.09.19 ip.,21.941,33.846,,
391,08.17.20 klo 04.39.19 ip.,21.941,33.871,,
392,08.17.20 klo 05.09.19 ip.,21.898,33.968,,
393,08.17.20 klo 05.39.19 ip.,21.812,33.382,,
394,08.17.20 klo 06.09.19 ip.,21.340,33.431,,
395,08.17.20 klo 06.39.19 ip.,21.469,33.236,,
396,08.17.20 klo 07.09.19 ip.,21.426,33.065,,
397,08.17.20 klo 07.39.19 ip.,21.426,33.651,,
398,08.17.20 klo 08.09.19 ip.,21.469,33.626,,
399,08.17.20 klo 08.39.19 ip.,21.469,33.846,,
400,08.17.20 klo 09.09.19 ip.,21.469,34.042,,
401,08.17.20 klo 09.39.19 ip.,21.512,34.481,,
402,08.17.20 klo 10.09.19 ip.,21.512,35.092,,
403,08.17.20 klo 10.39.19 ip.,21.512,35.775,,
404,08.17.20 klo 11.09.19 ip.,21.469,36.239,,
405,08.17.20 klo 11.39.19 ip.,21.426,36.264,,
406,08.18.20 klo 12.09.19 ap.,21.383,36.459,,
407,08.18.20 klo 12.39.19 ap.,21.340,36.484,,
408,08.18.20 klo 01.09.19 ap.,21.340,36.435,,
409,08.18.20 klo 01.39.19 ap.,21.297,36.386,,
410,08.18.20 klo 02.09.19 ap.,21.297,36.361,,
411,08.18.20 klo 02.39.19 ap.,21.254,36.361,,
412,08.18.20 klo 03.09.19 ap.,21.254,36.337,,
413,08.18.20 klo 03.39.19 ap.,21.254,36.337,,
414,08.18.20 klo 04.09.19 ap.,21.254,36.288,,
415,08.18.20 klo 04.39.19 ap.,21.254,36.288,,
416,08.18.20 klo 05.09.19 ap.,21.254,36.288,,
417,08.18.20 klo 05.39.19 ap.,21.211,36.264,,
